"","month","int_pay","prin_pay","total_pay","balance","name","extra_pay","month_count"
"1",1,11.4957233333333,26.5442766666667,38.04,2551.93572333333,"navient1",NA,1
"2",2,11.3773800998611,26.6626199001389,38.04,2525.27310343319,"navient1",NA,2
"3",3,11.2585092528063,26.7814907471937,38.04,2498.491612686,"navient1",NA,3
"4",4,11.1391084398918,26.9008915601082,38.04,2471.59072112589,"navient1",NA,4
"5",5,11.0191752983529,27.0208247016471,38.04,2444.56989642425,"navient1",NA,5
"6",6,10.8987074548914,27.1412925451086,38.04,2417.42860387914,"navient1",NA,6
"7",7,10.7777025256278,27.2622974743722,38.04,2390.16630640476,"navient1",NA,7
"8",8,10.6561581160546,27.3838418839454,38.04,2362.78246452082,"navient1",NA,8
"9",9,10.5340718209887,27.5059281790113,38.04,2335.27653634181,"navient1",NA,9
"10",10,10.4114412245239,27.6285587754761,38.04,2307.64797756633,"navient1",NA,10
"11",11,10.2882638999832,27.7517361000168,38.04,2279.89624146631,"navient1",NA,11
"12",12,10.1645374098707,27.8754625901293,38.04,2252.02077887619,"navient1",NA,12
"13",13,10.040259305823,27.999740694177,38.04,2224.02103818201,"navient1",NA,13
"14",14,9.91542712856145,28.1245728714385,38.04,2195.89646531057,"navient1",NA,14
"15",15,9.79003840784296,28.249961592157,38.04,2167.64650371841,"navient1",NA,15
"16",16,9.66409066241126,28.3759093375887,38.04,2139.27059438082,"navient1",NA,16
"17",17,9.53758139994784,28.5024186000522,38.04,2110.76817578077,"navient1",NA,17
"18",18,9.41050811702261,28.6294918829774,38.04,2082.13868389779,"navient1",NA,18
"19",19,9.28286829904433,28.7571317009557,38.04,2053.38155219684,"navient1",NA,19
"20",20,9.1546594202109,28.8853405797891,38.04,2024.49621161705,"navient1",NA,20
"21",21,9.02587894345934,29.0141210565407,38.04,1995.48209056051,"navient1",NA,21
"22",22,8.8965243204156,29.1434756795844,38.04,1966.33861488092,"navient1",NA,22
"23",23,8.76659299134412,29.2734070086559,38.04,1937.06520787227,"navient1",NA,23
"24",24,8.6360823850972,29.4039176149028,38.04,1907.66129025737,"navient1",NA,24
"25",25,8.50498991906409,29.5350100809359,38.04,1878.12628017643,"navient1",NA,25
"26",26,8.37331299911992,29.6666870008801,38.04,1848.45959317555,"navient1",NA,26
"27",27,8.24104901957433,29.7989509804257,38.04,1818.66064219512,"navient1",NA,27
"28",28,8.10819536311993,29.9318046368801,38.04,1788.72883755824,"navient1",NA,28
"29",29,7.9747494007805,30.0652505992195,38.04,1758.66358695902,"navient1",NA,29
"30",30,7.84070849185898,30.199291508141,38.04,1728.46429545088,"navient1",NA,30
"31",31,7.70606998388519,30.3339300161148,38.04,1698.13036543477,"navient1",NA,31
"32",32,7.57083121256334,30.4691687874367,38.04,1667.66119664733,"navient1",NA,32
"33",33,7.43498950171935,30.6050104982806,38.04,1637.05618614905,"navient1",NA,33
"34",34,7.29854216324785,30.7414578367521,38.04,1606.3147283123,"navient1",NA,34
"35",35,7.161486497059,30.878513502941,38.04,1575.43621480936,"navient1",NA,35
"36",36,7.02381979102506,31.0161802089749,38.04,1544.42003460038,"navient1",NA,36
"37",37,6.88553932092671,31.1544606790733,38.04,1513.26557392131,"navient1",NA,37
"38",38,6.74664235039918,31.2933576496008,38.04,1481.97221627171,"navient1",NA,38
"39",39,6.60712613087804,31.432873869122,38.04,1450.53934240259,"navient1",NA,39
"40",40,6.46698790154487,31.5730120984551,38.04,1418.96633030413,"navient1",NA,40
"41",41,6.32622488927259,31.7137751107274,38.04,1387.2525551934,"navient1",NA,41
"42",42,6.1848343085706,31.8551656914294,38.04,1355.39738950198,"navient1",NA,42
"43",43,6.04281336152964,31.9971866384704,38.04,1323.40020286351,"navient1",NA,43
"44",44,5.90015923776646,32.1398407622335,38.04,1291.26036210127,"navient1",NA,44
"45",45,5.75686911436817,32.2831308856318,38.04,1258.97723121564,"navient1",NA,45
"46",46,5.61294015583639,32.4270598441636,38.04,1226.55017137148,"navient1",NA,46
"47",47,5.46836951403116,32.5716304859688,38.04,1193.97854088551,"navient1",NA,47
"48",48,5.32315432811455,32.7168456718854,38.04,1161.26169521362,"navient1",NA,48
"49",49,5.17729172449406,32.8627082755059,38.04,1128.39898693812,"navient1",NA,49
"50",50,5.03077881676577,33.0092211832342,38.04,1095.38976575488,"navient1",NA,50
"51",51,4.88361270565718,33.1563872943428,38.04,1062.23337846054,"navient1",NA,51
"52",52,4.7357904789699,33.3042095210301,38.04,1028.92916893951,"navient1",NA,52
"53",53,4.58730921152198,33.452690788478,38.04,995.476478151031,"navient1",NA,53
"54",54,4.43816596509001,33.60183403491,38.04,961.874644116121,"navient1",NA,54
"55",1,4.28835778835104,33.751642211649,38.04,928.123001904472,"navient1",NA,55
"56",2,4.1378817168241,33.9021182831759,38.04,894.220883621296,"navient1",NA,56
"57",3,3.98673477281161,34.0532652271884,38.04,860.167618394108,"navient1",NA,57
"58",4,3.8349139653404,34.2050860346596,38.04,825.962532359448,"navient1",NA,58
"59",5,3.68241629010254,34.3575837098975,38.04,791.604948649551,"navient1",NA,59
"60",6,3.52923872939591,34.5107612706041,38.04,757.094187378946,"navient1",NA,60
"61",7,3.37537825206447,34.6646217479355,38.04,722.429565631011,"navient1",NA,61
"62",8,3.22083181343826,34.8191681865617,38.04,687.610397444449,"navient1",NA,62
"63",9,3.06559635527317,34.9744036447268,38.04,652.635993799722,"navient1",NA,63
"64",10,2.90966880569043,35.1303311943096,38.04,617.505662605413,"navient1",NA,64
"65",11,2.7530460791158,35.2869539208842,38.04,582.218708684529,"navient1",NA,65
"66",12,2.59572507621852,35.4442749237815,38.04,546.774433760747,"navient1",NA,66
"67",13,2.43770268385,35.60229731615,38.04,511.172136444597,"navient1",NA,67
"68",14,2.27897577498216,35.7610242250178,38.04,475.411112219579,"navient1",NA,68
"69",15,2.11954120864562,35.9204587913544,38.04,439.490653428225,"navient1",NA,69
"70",16,1.9593958298675,36.0806041701325,38.04,403.410049258093,"navient1",NA,70
"71",17,1.798536469609,36.241463530391,38.04,367.168585727702,"navient1",NA,71
"72",18,1.63695994470267,36.4030400552973,38.04,330.765545672404,"navient1",NA,72
"73",19,1.47466305778947,36.5653369422105,38.04,294.200208730194,"navient1",NA,73
"74",20,1.31164259725545,36.7283574027445,38.04,257.471851327449,"navient1",NA,74
"75",21,1.14789533716821,36.8921046628318,38.04,220.579746664617,"navient1",NA,75
"76",22,0.983418037213086,37.0565819627869,38.04,183.52316470183,"navient1",NA,76
"77",23,0.818207442628994,37.221792557371,38.04,146.301372144459,"navient1",NA,77
"78",24,0.652260284144048,37.387739715856,38.04,108.913632428603,"navient1",NA,78
"79",25,0.485573277910857,37.5544267220891,38.04,71.3592057065143,"navient1",NA,79
"80",26,0.318143125441543,37.7218568745585,38.04,33.6373488319559,"navient1",NA,80
